case,input_peak,input_rms,input_crest_factor,input_dc,output_peak,output_rms,output_crest_factor,output_dc,channel_deviation_db,null_residual_rms,mse_vs_input,mae_vs_input,max_abs_error_vs_input,correlation_vs_input,freq_response_delta_db,transient_delta,gain_curve_mean_db,gain_curve_std_db,mse_vs_reference,mae_vs_reference,max_abs_error_vs_reference,correlation_vs_reference,null_residual_rms_vs_reference,freq_response_delta_db_vs_reference,transient_delta_vs_reference,input_clip_l,input_clip_r,output_clip_l,output_clip_r,reference_available
silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-240.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,False,False,False,False,False
sine_-24db,0.06309533419730178,0.04461542169214011,1.4142045912437775,5.777691250600304e-19,0.02122344197763173,0.014987473473631928,1.416078701655152,-1.79729032792549e-06,-240.0,0.030601484093969143,0.0009364508287534464,0.02755018746544862,0.056789201311217084,0.9561552864955495,40.49377759225265,0.008727105726740706,-9.472576277867715,0.09682119017397162,,,,,,,,False,False,False,False,False
sine_-12db,0.25118704972415123,0.17761719292909026,1.4142045912437773,2.5158341858096894e-18,0.23855650950331422,0.1689720003249519,1.4118108860908527,-2.020401972192641e-05,-240.0,0.052024792775370296,0.0027065790633202212,0.04681877389774145,0.18177537682222,0.9561540358735842,49.02946611002565,0.03360857006283352,-0.43085773088318274,0.0956284137997247,,,,,,,,False,False,False,False,False
sine_-6db,0.501184054322813,0.35439289154197073,1.4142045912437773,4.9511079707395495e-18,0.7173200505236204,0.5227309841579146,1.3722547012956883,-6.046894632702911e-05,-240.0,0.21153309709809734,0.04474625116791307,0.19047696739370037,0.3044789891437732,0.9557129679242601,53.19631217905888,0.06422178773874179,3.378317260562136,0.08477560696101183,,,,,,,,False,False,False,False,False
log_sweep,0.12589254117719373,0.08901930073581425,1.4142162445289197,0.0002002625422116915,0.13656296391652348,0.05916054509950457,2.308345260964593,2.4897320363035145e-07,-240.0,0.04674231667719407,0.0021848441683510952,0.03751888272223145,0.1210738662368659,0.877215161701288,32.85392974809094,0.022750594280188892,-6.179405280632152,6.355887842918949,,,,,,,,False,False,False,False,False
pink_noise,0.12589254117941673,0.030732349077030683,4.096417779970769,-0.002307324843488105,0.05787213389675105,0.01337481784796429,4.326947443666267,4.503351390165832e-05,-240.0,0.02227151742638756,0.0004960204884738846,0.01790714649930159,0.08859772282827445,0.7655346865621969,9.3883701433501,0.050719124686760056,-6.924492514435661,1.9251656909226735,,,,,,,,False,False,False,False,False
white_noise,0.1,0.02098551384685344,4.765191871391511,5.669874302331219e-05,0.05660650320895297,0.010835798266968113,5.224027045751898,-2.053060226113321e-06,-240.0,0.010933916052128028,0.00011955052023498295,0.008723565996875892,0.06001098255895269,0.9636492259027681,6.1973071054722455,0.08722026921840353,-5.745029771381174,0.2569745496167371,,,,,,,,False,False,False,False,False
bursts,0.398104645142192,0.1625265717998708,2.4494742043313593,-6.532105838006212e-18,0.5116594553902946,0.20555179978470933,2.489199588260458,-8.303581974436189e-05,-240.0,0.07018673057444268,0.004926177148729407,0.036351753828202105,0.24605932840105543,0.9539775529583081,36.83373896779384,0.051898653339783773,78.53937319218942,69.04055771439944,,,,,,,,False,False,False,False,False
envelope_steps,0.6999955595175372,0.31262330900515617,2.2391022657430577,-1.6850550517364433e-17,1.0,0.46131077096684203,2.1677360749764016,-6.493810237016669e-05,-240.0,0.19509156221206148,0.038060717646342654,0.13029585130917215,0.4913327347806616,0.9446916488914934,6.572678781351736,0.10097133046473172,-1.1507854104580688,4.937829788972028,,,,,,,,False,False,True,True,False
stereo_identical,0.2327924982818279,0.12535636752853382,1.8570456600765757,-4.3838284812107466e-18,0.2371626001374452,0.13744867730275226,1.7254629494546345,-3.755824780668043e-05,-240.0,0.035053172923183336,0.0012287249319825934,0.028429913065465648,0.1676407723058162,0.9685868970804506,61.693010834622484,0.04120428121042231,0.8017851309917212,0.16570458667256674,,,,,,,,False,False,False,False,False
