case,mode,case_group,input_samples,input_peak,input_rms,input_crest,input_channel_delta_max,output_samples,output_peak,output_rms,output_crest,output_channel_delta_max,residual_rms,decode_action_ratio,gain_curve_mean_db,gain_curve_std_db,gain_curve_diff_std_db,gain_curve_diff_p95_db,input_level_span_db,gain_vs_input_slope,gain_vs_input_r2,mse,mae,max_abs_error,correlation,freq_response_delta_db,freq_delta_low_db,freq_delta_mid_db,freq_delta_high_db,transient_delta,overshoot_delta,undershoot_delta,channel_deviation_rms,soft_clip_dependency,reference_samples_used,mse_vs_reference,mae_vs_reference,max_abs_error_vs_reference,correlation_vs_reference,null_residual_rms_vs_reference,freq_response_delta_db_vs_reference,transient_delta_vs_reference,mse_vs_source,mae_vs_source,correlation_vs_source,freq_response_delta_db_vs_source,input_clip_l,input_clip_r,output_clip_l,output_clip_r,reference_available,source_available,reference_source_type,reference_trust_level,reference_license,reference_origin,reference_notes,cassette_priority,case_category,matrix_frequency_hz,matrix_level_db
silence,decode,sanity,88200,0.0,0.0,0.0,0.0,88200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
sine_-24db,decode,legacy_tone,88200,0.06309533419730129,0.04461542169214011,1.4142045912437666,0.0,88200,0.016932165152862333,0.011942808703467847,1.4177707751398312,0.0,0.03338741394171371,0.7483379664569115,-11.442886107431415,0.17547923842936045,0.13606862000283304,0.021866111057340553,0.05865794517555045,-0.06366844558167463,5.659763281951058e-05,0.001114719409715339,0.03005670761291645,0.06048123871933433,0.9556899476587662,28.19688180163574,14.166440462966605,16.68113213460433,21.09934938497404,0.008727105726740706,0.06024709890087385,0.06048123871933433,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-12db,decode,legacy_tone,88200,0.2511870497241493,0.17761719292909026,1.4142045912437664,0.0,88200,0.1910430385847536,0.13500880905462356,1.4150412845095093,0.0,0.06277967365378706,0.3534549365322447,-2.3777615605773694,0.17460344770189173,0.13558724520145873,0.021853507826132157,0.05865794517555756,-0.06632197693300712,6.20312526925515e-05,0.003941287424076006,0.056484360501750916,0.23675978897031918,0.9556750961456578,34.03139803884736,14.905643962678912,14.523414775807106,26.942116817818366,0.034743233835011295,0.21918490277616037,0.23675978897031918,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-6db,decode,legacy_tone,88200,0.5011840543228092,0.3543928915419708,1.4142045912437664,0.0,88200,0.5974047738201945,0.4302136682139578,1.3886234165928166,0.0,0.13897248679475727,0.3921424219037947,1.688744314366823,0.16403340920727344,0.12875318193998117,0.021690405252859223,0.05865794517555223,-0.09695690957186333,0.00015020837963308775,0.01931335208591898,0.12266984694411785,0.45369910481978337,0.9555157359327845,37.35417919087105,17.054758451635262,21.153069566696576,30.391696223973575,0.06932186615563506,0.39532156690401954,0.45369910481978337,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
log_sweep,decode,broadband,88200,0.12589254117549165,0.0890216247300798,1.4141793250483488,0.0,88200,0.057933350995952836,0.03748702578720881,1.5454240441694536,0.0,0.053915928627245154,0.6056497934150524,-7.880830718002739,2.249184710386329,0.6512159194916537,0.8859337190665806,1.7602991744932375,-0.3158831163804414,0.0015305004377755838,0.0029069273597381938,0.04799629562758311,0.11745004110818613,0.9623973161640704,25.489698786636435,25.944386482212106,23.046740165907,21.546822803582515,0.0030838765400490282,0.10720153407146894,0.11745004110818613,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
pink_noise,decode,broadband,88200,0.1216075751373486,0.029532877305762782,4.117701566234428,0.0,88200,0.026056815406326258,0.006357335838288948,4.09870047282878,0.0,0.024828719781505394,0.8407145543065843,-13.154494005343489,1.5761906122127456,1.4404098971094208,2.5721065506120047,7.901615742123347,-0.6489963151322009,0.5100889230642851,0.0006164653259885173,0.01993115218396072,0.10312954374393066,0.7931918598929995,15.86934995408592,10.493767266543914,13.67667907173702,16.307658726341593,0.06103520813900119,0.0905129363933026,0.10312954374393066,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
white_noise,decode,broadband,88200,0.08508057076577272,0.021041632839402014,4.043439566460501,0.0,88200,0.017406324999686872,0.004230042952617122,4.114928664948331,0.0,0.0170064611256,0.8082291548094187,-13.934584959359562,0.275837294564851,0.1895875602171908,0.217630637856256,0.8847023069577631,0.282631137309151,0.04211733948412921,0.000289219720016544,0.013574735842742942,0.0681709175360907,0.9629936318616354,14.146323998055099,8.75164920272189,11.966351411754104,14.576291215895086,0.12106808430674765,0.06753430331736142,0.0681709175360907,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
bursts,decode,dynamic,88200,0.398104645142192,0.16654017793934736,2.3904420546925236,0.0,88200,0.41667155973403386,0.16820100304784286,2.477223989059782,0.0,0.052955173392044225,0.3179723598669991,76.35169438370876,70.46798033456813,40.6204282752831,78.99743590918759,229.01887936994598,-0.5804364887696613,0.857390034152834,0.0028042503889814684,0.028076706298848182,0.36624840828352473,0.9499952489623005,4.560804602950703,2.085856189192432,3.661808885311269,4.709759920502106,0.055064315185797144,0.3266850821237529,0.36624840828352473,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
envelope_steps,decode,dynamic,88200,0.2999980969360851,0.15524174696260024,1.93245762049018,0.0,88200,0.2595020955982893,0.13025117868845174,1.992320516492164,0.0,0.05416785372731335,0.3489258191635984,-5.578835094465768,4.3105504595394715,0.4080565921950604,0.023477941624505297,11.53925372964802,0.7514537861366105,0.9960795173106215,0.0029341563774236148,0.04733565229153856,0.20987488443781085,0.9428887478753093,29.108138514225338,13.757507330510638,15.299217335044176,22.152217335619873,0.033119954563210346,0.2050507826436604,0.20987488443781085,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
stereo_identical,decode,sanity,88200,0.2327924982818137,0.12535636752853382,1.8570456600764622,0.0,88200,0.1602421861649509,0.09261616471838749,1.7301751443950402,0.0,0.04250497848502125,0.3390731505948128,-2.6244535074496937,0.17786166725223437,0.13910440550048284,0.027158289862638817,0.08220418025464582,0.7510907812305893,0.009429175338775186,0.0018066731960121193,0.034825615496719045,0.21640661666502523,0.9683570585424609,41.8635270258987,11.367593609974007,14.885578157833098,38.529843311080185,0.04306286759172317,0.18693661959977892,0.21640661666502523,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
