case,mode,case_group,input_samples,input_peak,input_rms,input_crest,input_channel_delta_max,output_samples,output_peak,output_rms,output_crest,output_channel_delta_max,residual_rms,decode_action_ratio,gain_curve_mean_db,gain_curve_std_db,gain_curve_diff_std_db,gain_curve_diff_p95_db,input_level_span_db,gain_vs_input_slope,gain_vs_input_r2,mse,mae,max_abs_error,correlation,freq_response_delta_db,freq_delta_low_db,freq_delta_mid_db,freq_delta_high_db,transient_delta,overshoot_delta,undershoot_delta,channel_deviation_rms,soft_clip_dependency,reference_samples_used,mse_vs_reference,mae_vs_reference,max_abs_error_vs_reference,correlation_vs_reference,null_residual_rms_vs_reference,freq_response_delta_db_vs_reference,transient_delta_vs_reference,mse_vs_source,mae_vs_source,correlation_vs_source,freq_response_delta_db_vs_source,input_clip_l,input_clip_r,output_clip_l,output_clip_r,reference_available,source_available,reference_source_type,reference_trust_level,reference_license,reference_origin,reference_notes,cassette_priority,case_category,matrix_frequency_hz,matrix_level_db
silence,decode,sanity,132300,0.0,0.0,0.0,0.0,132300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
sine_-24db,decode,legacy_tone,132300,0.06309533419730178,0.04461542169214011,1.4142045912437775,0.0,132300,0.01693616469754353,0.011955711807595493,1.4165751876675334,0.0,0.033372109346741126,0.7479949327167356,-11.43507559185769,0.1435422806552496,0.1115253440569163,0.021757457737409246,0.05865794517555045,-0.10308101393732755,0.00022197371253085407,0.0011136976822508466,0.030043759509251144,0.06048123871933433,0.9559053042028529,28.197843672393955,14.168095706697876,16.67878716302114,21.100422289591393,0.008727105726740706,0.06024699938742934,0.06048123871933433,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-12db,decode,legacy_tone,132300,0.25118704972415123,0.17761719292909026,1.4142045912437773,0.0,132300,0.19105143184982615,0.13512823358896642,1.4138528031896511,0.0,0.06262951367232271,0.3526095229830941,-2.3716541249044885,0.14282476823593265,0.11112986511047337,0.021714314995287885,0.05865794517555756,-0.10589424068350413,0.0002366145744243653,0.003922455982831657,0.056386807528600355,0.23675960145250702,0.9558948510225954,34.03166923696121,14.90580704703589,14.523518593259645,26.942387426936328,0.034743233835011295,0.21918360530587233,0.23675960145250702,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-6db,decode,legacy_tone,132300,0.501184054322813,0.35439289154197073,1.4142045912437773,0.0,132300,0.597414761812349,0.4305643993418006,1.387515462787009,0.0,0.13897903752393068,0.3921609062733455,1.6942317005295031,0.13419052637627377,0.10555007793592293,0.02148491577032019,0.05865794517555223,-0.13661590846498925,0.00044613130889814556,0.019315172871078132,0.12269863790883047,0.45369857737100816,0.9557206765430007,37.354304856951295,17.054852838777613,21.15325939404667,30.391838773289106,0.06932186615563506,0.39531959488175705,0.45369857737100816,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
log_sweep,decode,broadband,220500,0.12589254117719373,0.08901930073581416,1.4142162445289213,0.0,220500,0.09999415468947337,0.04570513220494644,2.18781020566989,0.0,0.04846195046046332,0.5443982379089409,-6.384661502768332,2.410233729322116,0.41972877601092196,0.5554525070014815,1.7602991744932375,-0.1675921287128079,0.00015043328140840195,0.0023485606424324007,0.04233947959045271,0.11744430072155321,0.9419439584280298,25.497056082315428,25.952035812684958,23.055597183050708,21.555222485731765,0.17167466371038642,0.10718261927090486,0.11744430072155321,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
pink_noise,decode,broadband,176400,0.12589254117941673,0.030732349077030683,4.096417779970769,0.0,176400,0.029327304447952146,0.006456407042882625,4.542356802036173,0.0,0.026140782222159584,0.8505949921575363,-13.2550641149604,1.9041477224295744,1.4744762803901212,2.9370344584326915,10.636657942331315,-0.7667042236735653,0.6073355654327721,0.0006833404951863746,0.020949006919000465,0.10312568072781443,0.765482952163971,15.867541780495394,10.491951622619801,13.674881019890618,16.30584296657818,0.061032735733533086,0.10311444670197752,0.10312568072781443,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
white_noise,decode,broadband,176400,0.1,0.02098551384685344,4.765191871391511,0.0,176400,0.02188719591193432,0.0042073195144825045,5.202171082227974,0.0,0.016968678375571013,0.808590082635279,-13.959629006038536,0.22149389010750023,0.15415913263227546,0.21408265573183627,1.144960936753371,0.16380189853596686,0.020846213219723353,0.0002879360458135713,0.013541036026600145,0.08087812553648535,0.9636010709078092,14.144784408559156,8.75010157677397,11.964823514132233,14.574743535474543,0.12106339697655469,0.07117555538631146,0.08087812553648535,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
bursts,decode,dynamic,132300,0.398104645142192,0.1625265717998708,2.4494742043313593,0.0,132300,0.4166815991671315,0.16420325285724005,2.5375964965164157,0.0,0.051533621545291154,0.3170781305148536,76.63878490010752,69.17941370253199,39.72577986911426,79.19766538524907,229.01887936994598,-0.571038530875003,0.8522156331569068,0.002655714149573297,0.026697301790334218,0.36624797558494937,0.9502967473510749,4.560617483477187,2.0859877779427554,3.661743220655682,4.7095502737759185,0.055064315185797144,0.32668334981085356,0.36624797558494937,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
envelope_steps,decode,dynamic,132300,0.6999955595175372,0.31262330900515617,2.2391022657430577,0.0,132300,0.9198179264677147,0.4108504318675686,2.2388145542079023,0.0,0.15702710659510657,0.502288543662356,-2.767525813244781,5.301536522070942,0.3585743709734908,0.04946156305450702,18.89880717641264,0.6832920226945233,0.992240215422082,0.024657512205630963,0.1088267616294079,0.40027720758071444,0.9415728122984931,29.10901668173681,13.756620961275994,15.29818609299487,22.153228606274137,0.07218783131113557,0.40027416013452066,0.40027720758071444,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
stereo_identical,decode,sanity,132300,0.2327924982818279,0.12535636752853382,1.8570456600765757,0.0,132300,0.16025043706057382,0.09270128994340794,1.7286753739716365,0.0,0.042384033508576245,0.3381083413966085,-2.618051091310991,0.14539620897877406,0.11396486370694432,0.027058513672737768,0.08220418025464582,0.5279786830522096,0.006887140183883589,0.001796406296456114,0.034754701046897145,0.21640630514617576,0.9685883077807418,41.8639151770304,11.367766872256338,14.885663014760299,38.53028154970154,0.04306286759172317,0.18693439136566992,0.21640630514617576,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
