case,mode,case_group,input_samples,input_peak,input_rms,input_crest,input_channel_delta_max,output_samples,output_peak,output_rms,output_crest,output_channel_delta_max,residual_rms,decode_action_ratio,gain_curve_mean_db,gain_curve_std_db,gain_curve_diff_std_db,gain_curve_diff_p95_db,input_level_span_db,gain_vs_input_slope,gain_vs_input_r2,mse,mae,max_abs_error,correlation,freq_response_delta_db,freq_delta_low_db,freq_delta_mid_db,freq_delta_high_db,transient_delta,overshoot_delta,undershoot_delta,channel_deviation_rms,soft_clip_dependency,reference_samples_used,mse_vs_reference,mae_vs_reference,max_abs_error_vs_reference,correlation_vs_reference,null_residual_rms_vs_reference,freq_response_delta_db_vs_reference,transient_delta_vs_reference,mse_vs_source,mae_vs_source,correlation_vs_source,freq_response_delta_db_vs_source,input_clip_l,input_clip_r,output_clip_l,output_clip_r,reference_available,source_available,reference_source_type,reference_trust_level,reference_license,reference_origin,reference_notes,cassette_priority,case_category,matrix_frequency_hz,matrix_level_db
silence,decode,sanity,132300,0.0,0.0,0.0,0.0,132300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
sine_-24db,decode,legacy_tone,132300,0.06309533419730178,0.04461542169214011,1.4142045912437775,0.0,132300,0.01693216515286733,0.011952888506101782,1.4165751771401278,0.0,0.03337470546705428,0.7480531215719496,-11.437126998105615,0.14354063198306533,0.11152370224120452,0.021757457936014468,0.05865794517555045,-0.10308337809689555,0.00022198899389969107,0.001113870965012623,0.030046099647448248,0.06048123871933433,0.9559053351820163,28.19688180163574,14.166440462966605,16.68113213460433,21.09934938497404,0.008727105726740706,0.06024709890087385,0.06048123871933433,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-12db,decode,legacy_tone,132300,0.25118704972415123,0.17761719292909026,1.4142045912437773,0.0,132300,0.1910430385848088,0.13512227389577214,1.4138530464057442,0.0,0.06263281138515092,0.352628089388597,-2.3720372162759236,0.14282484236968299,0.11112991049557006,0.021714317655028514,0.05865794517555756,-0.10589397409387907,0.00023661313743805756,0.003922869062007891,0.056389772560147766,0.23675978897031918,0.9558948515261079,34.03139803884736,14.905643962678912,14.523414775807106,26.942116817818366,0.034743233835011295,0.21918490277616037,0.23675978897031918,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-6db,decode,legacy_tone,132300,0.501184054322813,0.35439289154197073,1.4142045912437773,0.0,132300,0.5974047738203426,0.43055686980620395,1.3875165296729277,0.0,0.1389740451651078,0.39214681919952993,1.6940798025147557,0.13419087398676566,0.10555030428879238,0.02148491922510599,0.05865794517555223,-0.13661462630399163,0.00044612062363069693,0.019313785229553425,0.12269407617873261,0.45369910481978337,0.9557206906822014,37.35417919087105,17.054758451635262,21.153069566696576,30.391696223973575,0.06932186615563506,0.39532156690401954,0.45369910481978337,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
log_sweep,decode,broadband,220500,0.12589254117719373,0.08901930073581416,1.4142162445289213,0.0,220500,0.09988990435623209,0.04565736470137441,2.1878158104299246,0.0,0.04849955647155851,0.5448206857464812,-6.393738872061915,2.410176244111076,0.41957795020235844,0.5554528134025354,1.7602991744932375,-0.1675242861325896,0.00015031868322301634,0.002352206977937893,0.04237666348408573,0.11745004110818613,0.9419439829280462,25.489698786636435,25.944386482212106,23.046740165907,21.546822803582515,0.1717553884217635,0.10720153407146894,0.11745004110818613,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
pink_noise,decode,broadband,176400,0.12589254117941673,0.030732349077030683,4.096417779970769,0.0,176400,0.02932117589812197,0.006455057614896308,4.5423569621528435,0.0,0.02614165918856925,0.8506235277702052,-13.256879637606255,1.9041470863584427,1.4744752833765074,2.9370345866776706,10.636657942331315,-0.7667042424473499,0.6073360009307381,0.0006833863451313072,0.020949702107572885,0.10312954374393066,0.765483002423073,15.86934995408592,10.493767266543914,13.67667907173702,16.307658726341593,0.06103520813900119,0.10311787607292729,0.10312954374393066,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
white_noise,decode,broadband,176400,0.1,0.02098551384685344,4.765191871391511,0.0,176400,0.02188329665937711,0.004206569855717288,5.202171225002908,0.0,0.016969385807328596,0.808623793115887,-13.961176793402057,0.2214934028571382,0.15415864465433995,0.2140826573616792,1.144960936753371,0.1638018561559711,0.02084629414954231,0.00028796005467796515,0.013541600529413765,0.08088153230293131,0.963601083129206,14.146323998055099,8.75164920272189,11.966351411754104,14.576291215895086,0.12106808430674765,0.07117853197761674,0.08088153230293131,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
bursts,decode,dynamic,132300,0.398104645142192,0.1625265717998708,2.4494742043313593,0.0,132300,0.41667155973403386,0.16419920466841745,2.5375979169659018,0.0,0.05153286260080284,0.3170734608508109,76.63856338222018,69.1794086040421,39.72577724251965,79.19766082778217,229.01887936994598,-0.5710384812291766,0.8522156105902106,0.002655635927833224,0.02669692108081878,0.36624840828352473,0.9502967334814096,4.560804602950703,2.085856189192432,3.661808885311269,4.709759920502106,0.055064315185797144,0.3266850821237529,0.36624840828352473,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
envelope_steps,decode,dynamic,132300,0.6999955595175372,0.31262330900515617,2.2391022657430577,0.0,132300,0.9197231328483018,0.41079983924728425,2.2388595247104446,0.0,0.15699039062342307,0.5021710988953604,-2.768865644448714,5.301702648511318,0.358580176982616,0.04946500225286345,18.89880717641264,0.6833147176134169,0.9922439432692844,0.02464598274809496,0.10880804438827237,0.40018425524387297,0.9415718181919881,29.108138514225338,13.757507330510638,15.299217335044176,22.152217335619873,0.07215967569571999,0.4001815037657541,0.40018425524387297,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
stereo_identical,decode,sanity,132300,0.2327924982818279,0.12535636752853382,1.8570456600765757,0.0,132300,0.1602421861650191,0.09269649471503337,1.7286757892802096,0.0,0.042387279700454264,0.33813423710451723,-2.618500404885067,0.14539624923199454,0.11396488539065601,0.027058524308884842,0.08220418025464582,0.52797903932807,0.006887145665223859,0.0017966814804045424,0.034757010495175586,0.21640661666502523,0.9685883186325904,41.8635270258987,11.367593609974007,14.885578157833098,38.529843311080185,0.04306286759172317,0.18693661959977892,0.21640661666502523,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
