case,mode,case_group,input_samples,input_peak,input_rms,input_crest,input_channel_delta_max,output_samples,output_peak,output_rms,output_crest,output_channel_delta_max,residual_rms,decode_action_ratio,gain_curve_mean_db,gain_curve_std_db,gain_curve_diff_std_db,gain_curve_diff_p95_db,input_level_span_db,gain_vs_input_slope,gain_vs_input_r2,mse,mae,max_abs_error,correlation,freq_response_delta_db,freq_delta_low_db,freq_delta_mid_db,freq_delta_high_db,transient_delta,overshoot_delta,undershoot_delta,channel_deviation_rms,soft_clip_dependency,reference_samples_used,mse_vs_reference,mae_vs_reference,max_abs_error_vs_reference,correlation_vs_reference,null_residual_rms_vs_reference,freq_response_delta_db_vs_reference,transient_delta_vs_reference,mse_vs_source,mae_vs_source,correlation_vs_source,freq_response_delta_db_vs_source,input_clip_l,input_clip_r,output_clip_l,output_clip_r,reference_available,source_available,reference_source_type,reference_trust_level,reference_license,reference_origin,reference_notes,cassette_priority,case_category,matrix_frequency_hz,matrix_level_db
silence,encode,sanity,132300,0.0,0.0,0.0,0.0,132300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
sine_-24db,encode,legacy_tone,132300,0.06309533419730178,0.04461542169214011,1.4142045912437775,0.0,132300,0.18721819882389465,0.06806062261838984,2.7507564818149146,0.0,0.027740256479016668,0.6217638526524039,3.662804103577095,0.07992010127705293,0.06340650046583178,0.019883984845471023,0.05865794517555045,-0.1832290789356827,0.0022624584513226687,0.0007695218295216262,0.02494872517689239,0.13461395728810788,0.9638003428640423,60.789419239428796,20.062524220096247,20.31256932423046,55.733689504561724,0.07943295847834526,0.13461395728810788,0.09703518525826102,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-12db,encode,legacy_tone,132300,0.25118704972415123,0.17761719292909026,1.4142045912437773,0.0,132300,0.3904172488299994,0.14478587376509472,2.696514781983669,0.0,0.05421665136260309,0.30524438804889736,-1.780461820491851,0.07858380119407248,0.062264544154955574,0.019875418220430752,0.05865794517555756,-0.18489056040067822,0.002382688559165236,0.002939445284974052,0.04889891372034913,0.20681337392563368,0.9638062601065897,56.09497522541124,15.781068853751899,18.17034220198729,50.55776845154616,0.15225944966652982,0.20681337392563368,0.13143693285680763,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-6db,encode,legacy_tone,132300,0.501184054322813,0.35439289154197073,1.4142045912437773,0.0,132300,0.5513420812793852,0.21018432271206702,2.6231360843913776,0.0,0.16182596592015225,0.45662870159738295,-4.542802990925156,0.0767300198976018,0.06068827680657324,0.019862746167762024,0.05865794517555223,-0.18737715090961354,0.0025668855624474407,0.026187643245990273,0.14576283509271584,0.23589771348969935,0.9638093100352001,53.68581016034326,13.902190742099645,18.015749924414248,47.872959644215264,0.2014015229902698,0.23589771348969935,0.22869908748190512,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
log_sweep,encode,broadband,220500,0.12589254117719373,0.08901930073581416,1.4142162445289213,0.0,220500,0.4366339388452817,0.1298786112933773,3.3618617761394733,0.0,0.06645899063422037,0.7465683293946911,1.950987706355471,2.8335622374748266,0.26622644352674896,0.5302853345685072,1.7602991744932375,-0.8078930495323179,0.002529281953282614,0.00441679743611939,0.03695089373899289,0.3321737550759093,0.8811911100306835,62.38606099590241,48.87233786338999,57.658684094882396,60.398185720618535,0.019103394007569385,0.3321737550759093,0.33159807047647444,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
pink_noise,encode,broadband,176400,0.12589254117941673,0.030732349077030683,4.096417779970769,0.0,176400,0.22987568552447743,0.034630278827466665,6.637996958377181,0.0,0.022948514716314993,0.7467217900849201,1.4649976936638527,1.820638511874909,1.3529467893803377,2.6798132371516337,10.636657942331315,-0.8911685149284195,0.8975248802473295,0.0005266343276849257,0.01842165442958194,0.16163233742027075,0.7621040305776808,5.486654551013243,0.7649876435400884,3.823197562614804,5.7716441645105,0.19160198638341258,0.16163233742027075,0.08693540228896977,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
white_noise,encode,broadband,176400,0.1,0.02098551384685344,4.765191871391511,0.0,176400,0.23771249604507663,0.03197822842649217,7.433573019578068,0.0,0.01192161275963058,0.5680877221606896,3.648422029290909,0.16713978964451048,0.08958189020221828,0.0824944587925538,1.144960936753371,-0.10830106523533801,0.01600363246359271,0.00014212485079058665,0.009487844915610803,0.17867969467558104,0.9841449907740532,3.6981467025494346,1.1059039543502203,2.271480949146899,3.90436896898377,0.1772324273702507,0.16966404028705268,0.17867969467558104,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
bursts,encode,dynamic,132300,0.398104645142192,0.1625265717998708,2.4494742043313593,0.0,132300,0.49281228871579497,0.10986226479174085,4.485728467822768,0.0,0.06415246196509197,0.3947198372219833,73.93151778443273,68.93734992361485,39.36158711521144,77.53342762692077,229.01887936994598,-0.5741149144302792,0.8674828824654,0.004115538376182571,0.03347379396992502,0.22821055026433276,0.9624204763049854,2.313917661747088,4.72646269231505,3.0085415075716107,2.085578336154737,0.1844319622216139,0.22821055026433276,0.1605823631405378,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
envelope_steps,encode,dynamic,132300,0.6999955595175372,0.31262330900515617,2.2391022657430577,0.0,132300,0.4837124734224652,0.17773954417805907,2.7214679527808574,0.0,0.15737633747950505,0.5034056416980393,-1.874846108780578,3.5420097427607873,0.24419398309992033,0.0343924223618888,18.89880717641264,-0.45800890713952164,0.9987481421730415,0.024767311598463064,0.10841639752902081,0.37041646682398915,0.9408474803103151,59.98723103149776,19.29045020200591,19.792842026657105,54.851746859499855,0.08931363065351694,0.3704110336327168,0.37041646682398915,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
stereo_identical,encode,sanity,132300,0.2327924982818279,0.12535636752853382,1.8570456600765757,0.0,132300,0.3851106585700098,0.10339801922295967,3.7245458033348426,0.0,0.039319801759358564,0.3136641762566112,-1.6819100113387713,0.12637019195473245,0.08311489568334615,0.03125634416899427,0.08220418025464582,-0.583100014885723,0.011120111112005393,0.0015460468103952567,0.03345461960595026,0.20108583658422816,0.9589604013903856,65.76574098890482,13.49786517969586,19.77283820777184,64.36137977423141,0.1668685278050187,0.20108583658422816,0.11885308735357236,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
