case,mode,case_group,input_samples,input_peak,input_rms,input_crest,input_channel_delta_max,output_samples,output_peak,output_rms,output_crest,output_channel_delta_max,residual_rms,decode_action_ratio,gain_curve_mean_db,gain_curve_std_db,gain_curve_diff_std_db,gain_curve_diff_p95_db,input_level_span_db,gain_vs_input_slope,gain_vs_input_r2,mse,mae,max_abs_error,correlation,freq_response_delta_db,freq_delta_low_db,freq_delta_mid_db,freq_delta_high_db,transient_delta,overshoot_delta,undershoot_delta,channel_deviation_rms,soft_clip_dependency,reference_samples_used,mse_vs_reference,mae_vs_reference,max_abs_error_vs_reference,correlation_vs_reference,null_residual_rms_vs_reference,freq_response_delta_db_vs_reference,transient_delta_vs_reference,mse_vs_source,mae_vs_source,correlation_vs_source,freq_response_delta_db_vs_source,input_clip_l,input_clip_r,output_clip_l,output_clip_r,reference_available,source_available,reference_source_type,reference_trust_level,reference_license,reference_origin,reference_notes,cassette_priority,case_category,matrix_frequency_hz,matrix_level_db
silence,roundtrip,sanity,132300,0.0,0.0,0.0,0.0,132300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
sine_-24db,roundtrip,legacy_tone,132300,0.06309533419730178,0.04461542169214011,1.4142045912437775,0.0,132300,0.09073450694918347,0.032581345860978154,2.7848606173710544,0.0,0.012424070512875203,0.2784703145608495,-2.783609011365661,0.5248604907706761,0.07997048531089904,0.0881883183988552,0.05865794517555045,0.2151770003456316,7.234487992724414e-05,0.00015435752810889512,0.01104718298687248,0.027755529137213575,0.9967192066325359,34.73516168532681,30.22540046030559,11.688457767460662,27.66349428370085,0.006007412280156381,0.020367096242912303,0.027755529137213575,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-12db,roundtrip,legacy_tone,132300,0.25118704972415123,0.17761719292909026,1.4142045912437773,0.0,132300,0.3055844716398383,0.1216145107918469,2.5127303448424088,0.0,0.05694205275754308,0.3205886311933549,-3.3297449504735384,0.450694640144208,0.06999327461861606,0.07656497102357585,0.05865794517555756,0.1863567971528473,7.359182202815173e-05,0.0032423973722428188,0.05079796129536481,0.08351562969170451,0.997544252488045,34.46150252044433,28.488384227570567,17.50822646118172,27.00122019802798,0.013881486351991035,0.08351562969170451,0.08351540512145547,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-6db,roundtrip,legacy_tone,132300,0.501184054322813,0.35439289154197073,1.4142045912437773,0.0,132300,0.4833487157759541,0.22902036287042446,2.1105054140946584,0.0,0.12627008716781715,0.356299717577329,-3.8128863081263398,0.31765764342818964,0.05002198879088181,0.055084637930403926,0.05865794517555223,0.13336443487231373,7.58691651382426e-05,0.01594413491336814,0.1127038893547769,0.23162359127990892,0.9986086380589462,34.206546125784,25.43654875018753,20.47780789227421,26.88253103743427,0.0436544263142587,0.18479461037884698,0.23162359127990892,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
log_sweep,roundtrip,broadband,220500,0.12589254117719373,0.08901930073581416,1.4142162445289213,0.0,220500,0.3020521817307019,0.09935279021557525,3.040198278028331,0.0,0.05644039838591653,0.6340242837159188,-0.6124494730770167,3.2358550344726114,0.47269644403257427,0.8652603798673937,1.7602991744932375,-1.4889040956830342,0.00658734408098538,0.0031855185699609695,0.032727949055784536,0.25054020596467946,0.825952146102846,49.6065367423403,45.50460122585551,47.13173244938581,47.05231587436174,0.06044477524976699,0.25036229073420524,0.25054020596467946,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
pink_noise,roundtrip,broadband,176400,0.12589254117941673,0.030732349077030683,4.096417779970769,0.0,176400,0.15707839650639968,0.025996038227127587,6.042397504342951,0.0,0.022262681873675985,0.724405473134336,-1.088495732587988,1.9551189894264611,1.4522284128312488,2.7702713957327765,10.636657942331315,-0.8907108798499543,0.7775018021740623,0.0004956270042085013,0.017828928393453018,0.0737726033241839,0.7058732359268957,1.4197189545622297,1.759427232075927,1.6586891951464604,1.264221751728631,0.034691684051915105,0.0737726033241839,0.06604225951234145,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
white_noise,roundtrip,broadband,176400,0.1,0.02098551384685344,4.765191871391511,0.0,176400,0.11593396732271899,0.022713155457649604,5.104265126828663,0.0,0.002470826721687409,0.11773963409801776,0.6546181822127467,0.3807060725266053,0.07124303069617968,0.07077246440271068,1.144960936753371,0.17647240502118602,0.008190054944083314,6.104984688604547e-06,0.001714798802696966,0.05173351591356813,0.9967302994222291,1.5619124129982356,2.1583682261135277,1.848011636862799,1.423895371405245,0.09961967865460422,0.05165948525963571,0.05173351591356813,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
bursts,roundtrip,dynamic,132300,0.398104645142192,0.1625265717998708,2.4494742043313593,0.0,132300,0.4185288759848523,0.1121691613765019,3.7312294292727866,0.0,0.05156975464462283,0.3173004516955167,79.67327175919185,71.96690631954566,41.160644681035436,97.7464505430391,229.01887936994598,-0.6172204883776179,0.9199991460232051,0.0026594395941065977,0.026518221064671568,0.19239284280123228,0.9966111196781648,3.3010424495685426,2.6103548696702394,3.534801437272291,3.219548609955423,0.02901764306306887,0.18246686902041054,0.19239284280123228,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
envelope_steps,roundtrip,dynamic,132300,0.6999955595175372,0.31262330900515617,2.2391022657430577,0.0,132300,0.47357768464875766,0.1967744366594295,2.406703292808353,0.0,0.11662930782997397,0.3730665771567608,-3.372558648084854,0.8353067519518848,0.09521691320033425,0.10803066574279296,18.89880717641264,-0.08717537833606273,0.6505839383297836,0.013602395444898828,0.08132631399950765,0.2797701749385867,0.9985253453539501,34.69004824776301,30.109190637869833,12.477113491823093,27.5627314897795,0.036201672388167835,0.27688177549317783,0.2797701749385867,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
stereo_identical,roundtrip,sanity,132300,0.2327924982818279,0.12535636752853382,1.8570456600765757,0.0,132300,0.3512713406026069,0.10983181654935482,3.1982657816167235,0.0,0.018106122885055205,0.14443720125293083,-1.1876493840604085,0.44767145361829225,0.0700858417784373,0.0747968157849767,0.08220418025464582,-0.4689446155465679,0.0005731081910149705,0.00032783168592871986,0.014456124428462273,0.11949496582617114,0.9968473652377562,46.4131098855351,23.811286878520768,19.27845083356159,44.71645428901786,0.021872992050699404,0.09025510779427667,0.11949496582617114,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
