case,mode,case_group,input_samples,input_peak,input_rms,input_crest,input_channel_delta_max,output_samples,output_peak,output_rms,output_crest,output_channel_delta_max,residual_rms,decode_action_ratio,gain_curve_mean_db,gain_curve_std_db,gain_curve_diff_std_db,gain_curve_diff_p95_db,input_level_span_db,gain_vs_input_slope,gain_vs_input_r2,mse,mae,max_abs_error,correlation,freq_response_delta_db,freq_delta_low_db,freq_delta_mid_db,freq_delta_high_db,transient_delta,overshoot_delta,undershoot_delta,channel_deviation_rms,soft_clip_dependency,reference_samples_used,mse_vs_reference,mae_vs_reference,max_abs_error_vs_reference,correlation_vs_reference,null_residual_rms_vs_reference,freq_response_delta_db_vs_reference,transient_delta_vs_reference,mse_vs_source,mae_vs_source,correlation_vs_source,freq_response_delta_db_vs_source,input_clip_l,input_clip_r,output_clip_l,output_clip_r,reference_available,source_available,reference_source_type,reference_trust_level,reference_license,reference_origin,reference_notes,cassette_priority,case_category,matrix_frequency_hz,matrix_level_db
silence,roundtrip,sanity,132300,0.0,0.0,0.0,0.0,132300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
sine_-24db,roundtrip,legacy_tone,132300,0.06309533419730178,0.04461542169214011,1.4142045912437775,0.0,132300,0.055965439466400306,0.03150432147502799,1.7764369091637635,0.0,0.013158330089374911,0.29492784311602754,-3.0255537472878014,0.06803888533816713,0.03166399203182428,0.002120451366096132,0.05865794517555045,0.03498914645900657,0.00011382985507146781,0.00017314165074094916,0.0118389245394187,0.018672074279502363,0.9995586625575823,52.656694180330426,22.012450305755355,15.258406987230234,46.909310552975654,0.002649933507213215,0.018672028983643472,0.018672074279502363,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-12db,roundtrip,legacy_tone,132300,0.25118704972415123,0.17761719292909026,1.4142045912437773,0.0,132300,0.20580289682819206,0.11830583625619363,1.7395836362841965,0.0,0.05946629151687709,0.33480031148008116,-3.5326095522495846,0.06487476060785853,0.029803459395370595,0.002179756759835971,0.05865794517555756,0.030240019821375953,9.352257867367708e-05,0.003536239826770208,0.053430361192458725,0.08472536434718969,0.9995621238091146,52.268050456180596,21.343908174012682,17.36682025226819,46.32469450055866,0.011808709888538913,0.08472392473442117,0.08472536434718969,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
sine_-6db,roundtrip,legacy_tone,132300,0.501184054322813,0.35439289154197073,1.4142045912437773,0.0,132300,0.3782438509643468,0.22492262140134806,1.6816621138761094,0.0,0.12975015003660062,0.3661195050274712,-3.951731989357577,0.059844878832623676,0.026947297877187998,0.0023475310081791712,0.05865794517555223,0.01911829415695936,4.3928680807381326e-05,0.016835101434520373,0.11625360791276533,0.1862895769031528,0.9995449255580043,51.78502886689463,20.803387715289958,19.597842234525352,45.55046081139549,0.025091184142291,0.1862895769031528,0.18628805172173601,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,legacy_tone,,
log_sweep,roundtrip,broadband,220500,0.12589254117719373,0.08901930073581416,1.4142162445289213,0.0,220500,0.1273982883144231,0.06851778608505024,1.8593462456052687,0.0,0.03284715855423292,0.36898917743371895,-2.6581844486883006,1.8268260282675153,0.39588697812371915,0.7839368121558756,1.7602991744932375,-0.653048399751569,0.003976045737515754,0.0010789358250869168,0.023907801256016166,0.11315741901979405,0.9460116084921252,45.78436328225906,38.39778934105352,43.44674695418386,42.54240712944969,0.006946611086965322,0.11047934836088276,0.11315741901979405,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
pink_noise,roundtrip,broadband,176400,0.12589254117941673,0.030732349077030683,4.096417779970769,0.0,176400,0.11853114701340309,0.025977739198763297,4.562796866443478,0.0,0.02220054922881673,0.722383738814466,-1.0658042726687815,1.9012030612170898,1.4506008820678116,2.7520520312765466,10.636657942331315,-0.8804246200186456,0.8033441309201819,0.000492864386061115,0.017789673104002625,0.07428231914178879,0.7075858087656289,0.7022430400995406,1.1069948212328338,0.8257503692392109,0.3446928131029891,0.009455327890256493,0.07428231914178879,0.05881914475214642,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
white_noise,roundtrip,broadband,176400,0.1,0.02098551384685344,4.765191871391511,0.0,176400,0.10459293925156252,0.022189501663338565,4.713622722964107,0.0,0.0017656185284004656,0.0841351105951214,0.4798715900337385,0.12022769469720859,0.029291087321817424,0.04295929215836353,1.144960936753371,0.06372903822124812,0.010709729546708235,3.117408787831026e-06,0.0013893935066685219,0.015875954154103186,0.9982129957659485,0.7975009214162304,1.354044139766083,1.0265526874954662,0.5375040272284761,0.026670233681704625,0.015650150783007202,0.015875954154103186,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,broadband,,
bursts,roundtrip,dynamic,132300,0.398104645142192,0.1625265717998708,2.4494742043313593,0.0,132300,0.31069224027523085,0.10658025322981708,2.915101351891994,0.0,0.05616398440913879,0.34556801258502545,79.27237145393082,71.89344864086686,41.049164402487904,96.29027486177833,229.01887936994598,-0.6165782204305859,0.9199625549650011,0.003154393144709985,0.029228967603139824,0.1800442963109028,0.9992957728160625,4.516223052235731,3.7935963380659907,4.399713056338651,4.518802555848043,0.0287653823490134,0.1542575773632042,0.1800442963109028,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
envelope_steps,roundtrip,dynamic,132300,0.6999955595175372,0.31262330900515617,2.2391022657430577,0.0,132300,0.4582288847973531,0.19427977074315475,2.3586031785221175,0.0,0.1188467764401517,0.3801596778511212,-3.645522067594646,0.489777723188715,0.04819401956882487,0.06676263472018935,18.89880717641264,-0.060715534980104006,0.9179293058217582,0.014124556270215397,0.08388568519352473,0.27803685902098957,0.999017380561835,52.56219486121338,21.911238957701435,15.459016571179308,46.750938056639484,0.03628911126804368,0.27803685902098957,0.27802792177481517,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
stereo_identical,roundtrip,sanity,132300,0.2327924982818279,0.12535636752853382,1.8570456600765757,0.0,132300,0.23445846951489757,0.10289328004499784,2.2786567734293524,0.0,0.023142974319651944,0.18461746121021017,-1.7198073294645762,0.10629911205978729,0.03119939022372259,0.006447072443058787,0.08220418025464582,-0.13481893195427957,0.0008401460756403134,0.0005355972603600693,0.019030693578815795,0.04677385658823749,0.998798090476296,62.704702958638066,19.872557248921446,20.195106540485686,60.96491920961374,0.009782633897882358,0.04677385658823749,0.04508672837706987,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,False,sanity,,
